id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
3,-1,scatter,0.1,0.05,line,data/P3/line/scatter/S0.05m-0.1.png,,-0.09,,,50
3,-1,scatter,0.2,0.05,trig,data/P3/trig/scatter/S0.05m-0.2.png,,-0.2,,,51
3,1,scatter,0.1,0.05,trig,data/P3/trig/scatter/S0.05m0.1.png,,0.14,,,52
3,-1,scatter,0.8,0.05,quad,data/P3/quad/scatter/S0.05m-0.8.png,,-0.78,,,53
3,1,scatter,0.2,0.05,trig,data/P3/trig/scatter/S0.05m0.2.png,,0.23,,,54
3,1,scatter,0.4,0.05,line,data/P3/line/scatter/S0.05m0.4.png,,0.45,,,55
3,1,scatter,0.8,0.05,trig,data/P3/trig/scatter/S0.05m0.8.png,,0.79,,,56
3,-1,scatter,0.4,0.05,quad,data/P3/quad/scatter/S0.05m-0.4.png,,-0.41,,,57
3,-1,scatter,0.1,0.2,trig,data/P3/trig/scatter/S0.2m-0.1.png,,-0.12,,,58
3,-1,scatter,0.2,0.2,line,data/P3/line/scatter/S0.2m-0.2.png,,-0.29,,,59
3,1,scatter,0.1,0.2,quad,data/P3/quad/scatter/S0.2m0.1.png,,0.19,,,60
3,-1,scatter,0.8,0.2,quad,data/P3/quad/scatter/S0.2m-0.8.png,,-1,,,61
3,1,scatter,0.2,0.2,trig,data/P3/trig/scatter/S0.2m0.2.png,,0.39,,,62
3,1,scatter,0.4,0.2,line,data/P3/line/scatter/S0.2m0.4.png,,0.7,,,63
3,1,scatter,0.8,0.2,quad,data/P3/quad/scatter/S0.2m0.8.png,,0.84,,,64
3,-1,scatter,0.4,0.2,trig,data/P3/trig/scatter/S0.2m-0.4.png,,-0.63,,,65
3,-1,area,0.1,0.1,quad,data/P3/quad/area/S0.1m-0.1.png,,-0.07,,,66
3,-1,area,0.2,0.1,trig,data/P3/trig/area/S0.1m-0.2.png,,-0.21,,,67
3,1,area,0.1,0.1,quad,data/P3/quad/area/S0.1m0.1.png,,0.1,,,68
3,-1,area,0.8,0.1,trig,data/P3/trig/area/S0.1m-0.8.png,,-0.78,,,69
3,1,area,0.2,0.1,line,data/P3/line/area/S0.1m0.2.png,,0.15,,,70
3,1,area,0.4,0.1,trig,data/P3/trig/area/S0.1m0.4.png,,0.48,,,71
3,1,area,0.8,0.1,trig,data/P3/trig/area/S0.1m0.8.png,,0.91,,,72
3,-1,areatrend,0.4,0.1,line,data/P3/line/areatrend/S0.1m-0.4.png,1,-0.39,,,73
3,-1,area,0.4,0.1,line,data/P3/line/area/S0.1m-0.4.png,,-0.39,,,74
3,-1,area,0.1,0.15,line,data/P3/line/area/S0.15m-0.1.png,,-0.09,,,75
3,-1,area,0.2,0.15,quad,data/P3/quad/area/S0.15m-0.2.png,,-0.14,,,76
